Overall Market Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Sales,Avg Sales Price,Median Sales Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98075,261.12,"762,288.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98077,241.86,"669,127.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98092,155.81,"334,921.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98102,399.98,"765,927.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98103,368.33,"580,122.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98105,378.06,"762,653.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98106,231.33,"319,581.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98107,380.03,"566,622.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98108,224.52,"355,678.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98109,408.97,"787,602.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98112,383.77,"880,799.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98115,351.29,"609,308.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98116,344.75,"604,824.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98117,362.69,"574,277.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98118,261.69,"410,825.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98119,409.46,"768,230.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98122,360.61,"611,431.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98125,280.08,"462,330.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98126,292.73,"424,734.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98133,254.00,"386,997.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98136,334.04,"540,466.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98144,302.25,"550,828.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98146,224.49,"357,023.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98148,185.83,"284,908.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98155,243.78,"409,874.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98166,222.53,"447,944.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98168,175.37,"240,328.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98177,280.66,"618,967.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98178,188.49,"308,435.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98188,169.01,"289,078.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98198,178.17,"301,750.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98199,361.41,"733,643.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,257.46,"511,627.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
